volume,coll_area,flow_rate,design_case,r_level,flow_factor,inf
0.25,16.0,200,PVT_6,r1,1,1
0.25,16.0,100,PVT_6,r1,1,1
0.25,16.0,100,PVT_6,r0,1,1
0.25,16.0,100,PVT_9,r0,1,1
0.25,4.0,100,PVT_9,r0,1,1
0.2,8.0,50,PVT_6,r1,1,1
0.2,20.0,50,PVT_6,r1,1,1
0.25,20.0,50,PVT_6,r1,1,1
0.25,20.0,50,PVT_6,r0,1,1
0.2,4.0,200,PVT_6,r1,1,1
0.2,16.0,200,PVT_9,r1,1,1
0.25,16.0,200,PVT_9,r1,1,1
0.25,16.0,200,PVT_9,r0,1,1
0.25,20.0,200,PVT_9,r0,1,1
0.25,20.0,200,PVT_6,r0,1,1
0.2,8.0,50,PVT_6,r0,1,1
0.15,8.0,100,PVT_9,r1,1,1
0.1,8.0,200,cp_PV,r0,1,1
0.1,0.001,200,cp_PV,r0,1,1
0.3,0.001,200,cp_PV,r0,1,1
0.3,16.0,200,cp_PV,r0,1,1
0.3,4.0,200,cp_PV,r0,1,1
0.1,4.0,200,cp_PV,r0,1,1
0.2,8.0,200,cp_PV,r0,1,1
0.2,0.001,200,cp_PV,r0,1,1
0.4,0.001,200,cp_PV,r0,1,1
0.1,16.0,200,cp_PV,r0,1,1
0.3,8.0,200,cp_PV,r0,1,1
0.4,16.0,200,cp_PV,r0,1,1
0.4,4.0,200,cp_PV,r0,1,1
0.2,4.0,200,cp_PV,r0,1,1
0.4,8.0,200,cp_PV,r0,1,1
0.2,20.0,200,cp_PV,r1,1,1
0.2,20.0,200,cp_PV,r0,1,1
0.25,20.0,200,cp_PV,r0,1,1
0.25,4.0,200,cp_PV,r0,1,1
0.25,0.001,200,cp_PV,r0,1,1
0.25,16.0,200,cp_PV,r0,1,1
0.25,16.0,200,cp_PV,r1,1,1
0.2,16.0,200,cp_PV,r1,1,1
0.2,4.0,200,cp_PV,r1,1,1
0.15,20.0,200,cp_PV,r1,1,1
0.2,0.001,200,cp_PV,r1,1,1
0.15,4.0,200,cp_PV,r1,1,1
0.15,16.0,200,cp_PV,r0,1,1
0.2,16.0,200,cp_PV,r0,1,1
0.25,4.0,200,cp_PV,r1,1,1
0.25,20.0,200,cp_PV,r1,1,1
0.15,4.0,200,cp_PV,r0,1,1
0.15,0.001,200,cp_PV,r0,1,1
0.15,0.001,200,cp_PV,r1,1,1
0.15,20.0,200,cp_PV,r0,1,1
0.15,20.0,100,cp_PV,r0,1,1
0.2,20.0,100,cp_PV,r0,1,1
0.2,4.0,100,cp_PV,r0,1,1
0.25,20.0,100,cp_PV,r0,1,1
0.25,4.0,100,cp_PV,r0,1,1
0.15,4.0,100,cp_PV,r0,1,1
0.15,16.0,100,cp_PV,r0,1,1
0.15,0.001,100,cp_PV,r0,1,1
0.2,0.001,100,cp_PV,r0,1,1
0.25,16.0,100,cp_PV,r0,1,1
0.25,0.001,100,cp_PV,r0,1,1
0.2,16.0,100,cp_PV,r0,1,1
0.4,8.0,200,PVT_0,r0,1,1
0.2,8.0,200,PVT_0,r0,1,1
0.2,20.0,200,PVT_0,r0,1,1
0.2,20.0,100,PVT_0,r0,1,1
0.1,8.0,100,PVT_0,r0,1,1
0.1,20.0,100,PVT_0,r0,1,1
0.3,20.0,100,PVT_0,r0,1,1
0.3,20.0,200,PVT_0,r0,1,1
0.3,4.0,100,PVT_0,r0,1,1
0.1,4.0,100,PVT_0,r0,1,1
0.1,4.0,200,PVT_0,r0,1,1
0.1,16.0,200,PVT_0,r0,1,1
0.1,20.0,200,PVT_0,r0,1,1
0.3,8.0,200,PVT_0,r0,1,1
0.3,8.0,100,PVT_0,r0,1,1
0.1,8.0,50,PVT_0,r0,1,1
0.1,20.0,50,PVT_0,r0,1,1
0.3,20.0,50,PVT_0,r0,1,1
0.3,8.0,50,PVT_0,r0,1,1
0.4,20.0,100,PVT_0,r0,1,1
0.4,8.0,100,PVT_0,r0,1,1
0.1,16.0,100,PVT_0,r0,1,1
0.1,16.0,50,PVT_0,r0,1,1
0.4,16.0,100,PVT_0,r0,1,1
0.4,4.0,100,PVT_0,r0,1,1
0.4,4.0,50,PVT_0,r0,1,1
0.2,4.0,50,PVT_0,r0,1,1
0.3,16.0,50,PVT_0,r0,1,1
0.2,4.0,100,PVT_0,r0,1,1
0.2,16.0,100,PVT_0,r0,1,1
0.4,20.0,200,PVT_0,r0,1,1
0.2,8.0,100,PVT_0,r0,1,1
0.2,20.0,50,PVT_0,r0,1,1
0.4,20.0,50,PVT_0,r0,1,1
0.3,16.0,100,PVT_0,r0,1,1
0.1,4.0,50,PVT_0,r0,1,1
0.3,4.0,50,PVT_0,r0,1,1
0.2,16.0,200,PVT_0,r0,1,1
0.4,16.0,200,PVT_0,r0,1,1
0.1,8.0,200,PVT_0,r0,1,1
0.4,16.0,50,PVT_0,r0,1,1
0.2,16.0,50,PVT_0,r0,1,1
0.3,16.0,200,PVT_0,r0,1,1
0.4,20.0,50,PVT_0,r1,1,1
0.2,20.0,50,PVT_0,r1,1,1
0.2,20.0,100,PVT_0,r1,1,1
0.2,8.0,100,PVT_0,r1,1,1
0.1,8.0,200,PVT_0,r1,1,1
0.3,8.0,200,PVT_0,r1,1,1
0.3,20.0,200,PVT_0,r1,1,1
0.3,4.0,200,PVT_0,r0,1,1
0.3,4.0,100,PVT_0,r1,1,1
0.3,16.0,100,PVT_0,r1,1,1
0.1,16.0,100,PVT_0,r1,1,1
0.2,20.0,200,PVT_0,r1,1,1
0.1,4.0,100,PVT_0,r1,1,1
0.3,20.0,100,PVT_0,r1,1,1
0.1,20.0,200,PVT_0,r1,1,1
0.4,4.0,100,PVT_0,r1,1,1
0.4,4.0,200,PVT_0,r1,1,1
0.2,4.0,100,PVT_0,r1,1,1
0.2,16.0,100,PVT_0,r1,1,1
0.4,16.0,100,PVT_0,r1,1,1
0.4,16.0,200,PVT_0,r1,1,1
0.2,16.0,50,PVT_0,r1,1,1
0.4,16.0,50,PVT_0,r1,1,1
0.4,4.0,50,PVT_0,r1,1,1
0.4,4.0,200,PVT_0,r0,1,1
0.1,20.0,100,PVT_0,r1,1,1
0.1,8.0,100,PVT_0,r1,1,1
0.3,8.0,100,PVT_0,r1,1,1
0.4,8.0,100,PVT_0,r1,1,1
0.2,4.0,200,PVT_0,r1,1,1
0.2,16.0,200,PVT_0,r1,1,1
0.3,8.0,50,PVT_0,r1,1,1
0.3,20.0,50,PVT_0,r1,1,1
0.2,8.0,50,PVT_0,r1,1,1
0.3,4.0,200,PVT_0,r1,1,1
0.4,20.0,200,PVT_0,r1,1,1
0.4,20.0,100,PVT_0,r1,1,1
0.4,8.0,50,PVT_0,r0,1,1
0.1,16.0,200,PVT_0,r1,1,1
0.1,4.0,200,PVT_0,r1,1,1
0.25,20.0,100,PVT_0,r0,1,1
0.25,8.0,100,PVT_0,r0,1,1
0.15,20.0,100,PVT_0,r0,1,1
0.15,8.0,100,PVT_0,r0,1,1
0.25,4.0,100,PVT_0,r0,1,1
0.25,16.0,100,PVT_0,r0,1,1
0.15,16.0,100,PVT_0,r0,1,1
0.15,4.0,100,PVT_0,r0,1,1
0.4,8.0,200,ST,r0,1,1
0.2,8.0,200,ST,r0,1,1
0.2,20.0,200,ST,r0,1,1
0.2,20.0,100,ST,r0,1,1
0.1,8.0,100,ST,r0,1,1
0.1,20.0,100,ST,r0,1,1
0.3,20.0,100,ST,r0,1,1
0.3,20.0,200,ST,r0,1,1
0.3,4.0,100,ST,r0,1,1
0.1,4.0,100,ST,r0,1,1
0.1,4.0,200,ST,r0,1,1
0.1,16.0,200,ST,r0,1,1
0.1,20.0,200,ST,r0,1,1
0.3,8.0,200,ST,r0,1,1
0.3,8.0,100,ST,r0,1,1
0.1,8.0,50,ST,r0,1,1
0.1,20.0,50,ST,r0,1,1
0.3,20.0,50,ST,r0,1,1
0.3,8.0,50,ST,r0,1,1
0.4,20.0,100,ST,r0,1,1
0.4,8.0,100,ST,r0,1,1
0.1,16.0,100,ST,r0,1,1
0.1,16.0,50,ST,r0,1,1
0.4,16.0,100,ST,r0,1,1
0.4,4.0,100,ST,r0,1,1
0.4,4.0,50,ST,r0,1,1
0.2,4.0,50,ST,r0,1,1
0.3,16.0,50,ST,r0,1,1
0.2,4.0,100,ST,r0,1,1
0.2,16.0,100,ST,r0,1,1
0.4,20.0,200,ST,r0,1,1
0.2,8.0,100,ST,r0,1,1
0.2,20.0,50,ST,r0,1,1
0.4,20.0,50,ST,r0,1,1
0.3,16.0,100,ST,r0,1,1
0.1,4.0,50,ST,r0,1,1
0.3,4.0,50,ST,r0,1,1
0.2,16.0,200,ST,r0,1,1
0.4,16.0,200,ST,r0,1,1
0.1,8.0,200,ST,r0,1,1
0.4,16.0,50,ST,r0,1,1
0.2,16.0,50,ST,r0,1,1
0.3,16.0,200,ST,r0,1,1
0.4,20.0,50,ST,r1,1,1
0.2,20.0,50,ST,r1,1,1
0.2,20.0,100,ST,r1,1,1
0.2,8.0,100,ST,r1,1,1
0.1,8.0,200,ST,r1,1,1
0.3,8.0,200,ST,r1,1,1
0.3,20.0,200,ST,r1,1,1
0.3,4.0,200,ST,r0,1,1
0.3,4.0,100,ST,r1,1,1
0.3,16.0,100,ST,r1,1,1
0.1,16.0,100,ST,r1,1,1
0.2,20.0,200,ST,r1,1,1
0.1,4.0,100,ST,r1,1,1
0.3,20.0,100,ST,r1,1,1
0.1,20.0,200,ST,r1,1,1
0.4,4.0,100,ST,r1,1,1
0.4,4.0,200,ST,r1,1,1
0.2,4.0,100,ST,r1,1,1
0.2,16.0,100,ST,r1,1,1
0.4,16.0,100,ST,r1,1,1
0.4,16.0,200,ST,r1,1,1
0.2,16.0,50,ST,r1,1,1
0.4,16.0,50,ST,r1,1,1
0.4,4.0,50,ST,r1,1,1
0.4,4.0,200,ST,r0,1,1
0.1,20.0,100,ST,r1,1,1
0.1,8.0,100,ST,r1,1,1
0.3,8.0,100,ST,r1,1,1
0.4,8.0,100,ST,r1,1,1
0.2,4.0,200,ST,r1,1,1
0.2,16.0,200,ST,r1,1,1
0.3,8.0,50,ST,r1,1,1
0.3,20.0,50,ST,r1,1,1
0.2,8.0,50,ST,r1,1,1
0.3,4.0,200,ST,r1,1,1
0.4,20.0,200,ST,r1,1,1
0.4,20.0,100,ST,r1,1,1
0.4,8.0,50,ST,r0,1,1
0.1,16.0,200,ST,r1,1,1
0.1,4.0,200,ST,r1,1,1
0.25,20.0,100,ST,r0,1,1
0.25,8.0,100,ST,r0,1,1
0.25,16.0,100,ST,r0,1,1
0.15,16.0,100,ST,r0,1,1
0.15,4.0,100,ST,r0,1,1
0.15,20.0,100,ST,r0,1,1
0.15,8.0,100,ST,r0,1,1
0.25,4.0,100,ST,r0,1,1
0.15,4.0,100,ASHP,r0,1,1
0.15,4.0,100,ASHP,r1,1,1
0.15,8.0,100,ASHP,r0,1,1
0.15,8.0,100,ASHP,r1,1,1
0.15,16.0,100,ASHP,r0,1,1
0.15,16.0,100,ASHP,r1,1,1
0.15,20.0,100,ASHP,r0,1,1
0.15,20.0,100,ASHP,r1,1,1
0.2,4.0,100,ASHP,r0,1,1
0.2,4.0,100,ASHP,r1,1,1
0.2,8.0,100,ASHP,r0,1,1
0.2,8.0,100,ASHP,r1,1,1
0.2,16.0,100,ASHP,r0,1,1
0.2,16.0,100,ASHP,r1,1,1
0.2,20.0,100,ASHP,r0,1,1
0.2,20.0,100,ASHP,r1,1,1
0.25,4.0,100,ASHP,r0,1,1
0.25,4.0,100,ASHP,r1,1,1
0.25,8.0,100,ASHP,r0,1,1
0.25,8.0,100,ASHP,r1,1,1
0.25,16.0,100,ASHP,r0,1,1
0.25,16.0,100,ASHP,r1,1,1
0.25,20.0,100,ASHP,r0,1,1
0.25,20.0,100,ASHP,r1,1,1
0.15,20.0,100,PVT_6,r0,1,1
0.25,8.0,50,PVT_6,r1,1,1
0.15,16.0,200,PVT_9,r0,1,1
0.2,16.0,100,PVT_9,r0,1,1
0.15,8.0,100,PVT_0,r1,1,1
0.25,4.0,200,PVT_9,r1,1,1
0.25,4.0,100,PVT_6,r1,1,1
0.2,4.0,50,cp_PV,r0,1,1
0.25,8.0,50,PVT_9,r0,1,1
0.25,16.0,100,PVT_0,r1,1,1
0.2,8.0,100,cp_PV,r0,1,1
0.25,16.0,100,ST,r1,1,1
0.2,16.0,200,PVT_6,r0,1,1
0.2,4.0,100,PVT_6,r0,1,1
0.15,20.0,100,PVT_0,r1,1,1
0.25,8.0,50,ST,r1,1,1
0.15,16.0,200,PVT_0,r0,1,1
0.2,16.0,100,PVT_6,r1,1,1
0.2,8.0,100,PVT_6,r1,1,1
0.15,8.0,100,PVT_6,r1,1,1
0.2,20.0,50,PVT_9,r1,1,1
0.25,20.0,50,cp_PV,r1,1,1
0.15,16.0,200,PVT_9,r1,1,1
0.2,4.0,50,PVT_0,r1,1,1
0.2,8.0,200,cp_PV,r1,1,1
0.2,16.0,50,cp_PV,r1,1,1
0.2,16.0,100,PVT_6,r0,1,1
0.25,8.0,50,cp_PV,r0,1,1
0.25,8.0,50,PVT_0,r0,1,1
0.15,8.0,50,PVT_0,r1,1,1
0.25,8.0,100,PVT_6,r1,1,1
0.2,4.0,200,PVT_9,r1,1,1
0.15,8.0,200,cp_PV,r0,1,1
0.25,4.0,200,PVT_0,r0,1,1
0.15,8.0,200,PVT_9,r0,1,1
0.15,16.0,200,PVT_6,r0,1,1
0.15,8.0,100,PVT_9,r0,1,1
0.25,16.0,50,cp_PV,r0,1,1
0.2,8.0,100,cp_PV,r1,1,1
0.25,8.0,200,PVT_0,r1,1,1
0.15,8.0,100,PVT_6,r0,1,1
0.25,8.0,100,cp_PV,r1,1,1
0.25,4.0,100,PVT_6,r0,1,1
0.15,8.0,200,ST,r0,1,1
0.25,16.0,50,PVT_0,r0,1,1
0.2,8.0,50,cp_PV,r1,1,1
0.15,20.0,200,PVT_0,r1,1,1
0.2,16.0,200,PVT_9,r0,1,1
0.15,16.0,100,PVT_9,r0,1,1
0.25,4.0,200,PVT_9,r0,1,1
0.25,8.0,100,PVT_0,r1,1,1
0.15,16.0,50,PVT_6,r1,1,1
0.25,16.0,100,cp_PV,r1,1,1
0.15,4.0,50,PVT_6,r1,1,1
0.2,20.0,100,PVT_6,r1,1,1
0.2,16.0,100,cp_PV,r1,1,1
0.25,8.0,50,PVT_6,r0,1,1
0.2,8.0,200,PVT_0,r1,1,1
0.25,20.0,100,PVT_9,r1,1,1
0.15,4.0,200,PVT_6,r0,1,1
0.25,20.0,200,PVT_0,r1,1,1
0.15,16.0,100,PVT_6,r0,1,1
0.2,4.0,100,PVT_9,r0,1,1
0.25,16.0,200,PVT_0,r1,1,1
0.15,20.0,100,cp_PV,r1,1,1
0.2,8.0,200,ST,r1,1,1
0.25,4.0,200,PVT_0,r1,1,1
0.15,16.0,100,PVT_0,r1,1,1
0.15,4.0,100,cp_PV,r1,1,1
0.2,8.0,50,PVT_0,r0,1,1
0.25,8.0,200,ST,r1,1,1
0.2,20.0,200,PVT_9,r0,1,1
0.2,16.0,50,PVT_6,r1,1,1
0.25,16.0,50,cp_PV,r1,1,1
0.25,4.0,100,ST,r1,1,1
0.25,8.0,200,ST,r0,1,1
0.25,16.0,100,PVT_9,r1,1,1
0.15,8.0,200,PVT_0,r0,1,1
0.15,4.0,50,PVT_0,r0,1,1
0.15,16.0,200,PVT_0,r1,1,1
0.15,4.0,200,PVT_0,r0,1,1
0.15,16.0,50,ST,r1,1,1
0.25,8.0,100,ST,r1,1,1
0.15,4.0,100,PVT_6,r0,1,1
0.15,8.0,200,PVT_9,r1,1,1
0.25,20.0,50,PVT_0,r0,1,1
0.15,16.0,100,PVT_6,r1,1,1
0.25,4.0,50,PVT_6,r1,1,1
0.25,8.0,200,cp_PV,r1,1,1
0.25,20.0,200,PVT_6,r1,1,1
0.15,4.0,100,PVT_0,r1,1,1
0.2,4.0,100,PVT_6,r1,1,1
0.15,16.0,100,cp_PV,r1,1,1
0.15,16.0,50,cp_PV,r1,1,1
0.2,8.0,50,cp_PV,r0,1,1
0.15,8.0,200,PVT_0,r1,1,1
0.15,20.0,100,PVT_6,r1,1,1
0.15,16.0,50,PVT_0,r0,1,1
0.25,4.0,100,PVT_9,r1,1,1
0.2,4.0,200,PVT_0,r0,1,1
0.15,16.0,200,ST,r1,1,1
0.15,16.0,50,PVT_6,r0,1,1
0.15,8.0,100,ST,r1,1,1
0.25,16.0,200,PVT_6,r0,1,1
0.2,16.0,50,cp_PV,r0,1,1
0.15,16.0,50,PVT_0,r1,1,1
0.15,4.0,50,PVT_6,r0,1,1
0.15,16.0,50,PVT_9,r0,1,1
0.25,20.0,50,cp_PV,r0,1,1
0.15,8.0,50,PVT_6,r1,1,1
0.25,20.0,50,PVT_0,r1,1,1
0.15,20.0,100,PVT_9,r0,1,1
0.15,8.0,200,cp_PV,r1,1,1
0.15,20.0,200,PVT_9,r0,1,1
0.2,4.0,100,cp_PV,r1,1,1
0.15,4.0,100,PVT_9,r0,1,1
0.25,20.0,50,PVT_9,r1,1,1
0.15,20.0,200,ST,r0,1,1
0.2,4.0,50,cp_PV,r1,1,1
0.2,20.0,50,cp_PV,r1,1,1
0.15,20.0,200,PVT_0,r0,1,1
0.25,8.0,100,PVT_9,r1,1,1
0.25,8.0,50,ST,r0,1,1
0.25,4.0,50,PVT_9,r1,1,1
0.2,4.0,200,PVT_6,r0,1,1
0.15,20.0,50,cp_PV,r0,1,1
0.15,16.0,200,ST,r0,1,1
0.15,8.0,50,PVT_6,r0,1,1
0.2,4.0,50,ST,r1,1,1
0.25,4.0,100,PVT_0,r1,1,1
0.15,8.0,100,cp_PV,r0,1,1
0.25,20.0,50,PVT_9,r0,1,1
0.15,8.0,50,PVT_9,r0,1,1
0.15,16.0,100,ST,r1,1,1
0.25,16.0,50,PVT_6,r1,1,1
0.2,8.0,50,ST,r0,1,1
0.2,20.0,50,PVT_9,r0,1,1
0.2,4.0,200,PVT_9,r0,1,1
0.15,8.0,50,cp_PV,r1,1,1
0.25,4.0,200,ST,r1,1,1
0.25,8.0,50,cp_PV,r1,1,1
0.2,20.0,50,cp_PV,r0,1,1
0.15,4.0,100,ST,r1,1,1
0.15,8.0,100,cp_PV,r1,1,1
0.15,8.0,50,PVT_9,r1,1,1
0.15,4.0,200,PVT_9,r1,1,1
0.15,4.0,50,PVT_0,r1,1,1
0.25,8.0,50,PVT_0,r1,1,1
0.25,8.0,200,cp_PV,r0,1,1
0.15,4.0,200,PVT_6,r1,1,1
0.15,20.0,50,ST,r1,1,1
0.15,16.0,50,ST,r0,1,1
0.2,20.0,100,cp_PV,r1,1,1
0.25,4.0,50,ST,r0,1,1
0.15,20.0,50,cp_PV,r1,1,1
0.15,8.0,200,PVT_6,r0,1,1
0.15,16.0,50,cp_PV,r0,1,1
0.25,8.0,100,PVT_6,r0,1,1
0.25,8.0,200,PVT_0,r0,1,1
0.25,16.0,200,PVT_0,r0,1,1
0.15,16.0,200,cp_PV,r1,1,1
0.15,20.0,200,PVT_6,r1,1,1
0.25,16.0,50,PVT_9,r1,1,1
0.15,20.0,50,PVT_9,r1,1,1
0.25,20.0,200,PVT_9,r1,1,1
0.25,4.0,200,ST,r0,1,1
0.15,20.0,50,PVT_9,r0,1,1
0.25,20.0,100,ST,r1,1,1
0.25,20.0,50,ST,r1,1,1
0.25,20.0,100,PVT_0,r1,1,1
0.15,4.0,100,PVT_6,r1,1,1
0.25,16.0,200,ST,r0,1,1
0.25,4.0,100,cp_PV,r1,1,1
0.25,20.0,100,cp_PV,r1,1,1
0.15,8.0,50,PVT_0,r0,1,1
0.15,4.0,50,ST,r0,1,1
0.15,4.0,50,cp_PV,r1,1,1
0.15,8.0,200,ST,r1,1,1
0.25,16.0,50,ST,r0,1,1
0.15,20.0,50,PVT_0,r1,1,1
0.15,20.0,50,PVT_6,r1,1,1
0.25,8.0,100,cp_PV,r0,1,1
0.25,16.0,50,ST,r1,1,1
0.25,20.0,100,PVT_6,r1,1,1
0.25,20.0,200,PVT_0,r0,1,1
0.15,16.0,200,PVT_6,r1,1,1
